label,pix1,pix2
0,['100' '92' '90' '89' '81' '96' '97' '99' '99' '115'],['123' '110' '102' '102' '104' '98' '111' '114' '115' '121']
0,['92' '90' '89' '81' '96' '97' '99' '99' '115' '116'],['110' '102' '102' '104' '98' '111' '114' '115' '121' '121']
0,['90' '89' '81' '96' '97' '99' '99' '115' '116' '116'],['102' '102' '104' '98' '111' '114' '115' '121' '121' '122']
0,['89' '81' '96' '97' '99' '99' '115' '116' '116' '116'],['102' '104' '98' '111' '114' '115' '121' '121' '122' '124']
0,['81' '96' '97' '99' '99' '115' '116' '116' '116' '117'],['104' '98' '111' '114' '115' '121' '121' '122' '124' '122']
0,['96' '97' '99' '99' '115' '116' '116' '116' '117' '116'],['98' '111' '114' '115' '121' '121' '122' '124' '122' '123']
0,['97' '99' '99' '115' '116' '116' '116' '117' '116' '116'],['111' '114' '115' '121' '121' '122' '124' '122' '123' '123']
0,['99' '99' '115' '116' '116' '116' '117' '116' '116' '115'],['114' '115' '121' '121' '122' '124' '122' '123' '123' '123']
0,['99' '115' '116' '116' '116' '117' '116' '116' '115' '116'],['115' '121' '121' '122' '124' '122' '123' '123' '123' '123']
0,['115' '116' '116' '116' '117' '116' '116' '115' '116' '115'],['121' '121' '122' '124' '122' '123' '123' '123' '123' '123']
0,['116' '116' '116' '117' '116' '116' '115' '116' '115' '115'],['121' '122' '124' '122' '123' '123' '123' '123' '123' '123']
0,['116' '116' '117' '116' '116' '115' '116' '115' '115' '116'],['122' '124' '122' '123' '123' '123' '123' '123' '123' '122']
0,['116' '117' '116' '116' '115' '116' '115' '115' '116' '115'],['124' '122' '123' '123' '123' '123' '123' '123' '122' '123']
0,['117' '116' '116' '115' '116' '115' '115' '116' '115' '115'],['122' '123' '123' '123' '123' '123' '123' '122' '123' '124']
0,['116' '116' '115' '116' '115' '115' '116' '115' '115' '117'],['123' '123' '123' '123' '123' '123' '122' '123' '124' '121']
0,['116' '115' '116' '115' '115' '116' '115' '115' '117' '116'],['123' '123' '123' '123' '123' '122' '123' '124' '121' '122']
0,['115' '116' '115' '115' '116' '115' '115' '117' '116' '115'],['123' '123' '123' '123' '122' '123' '124' '121' '122' '122']
0,['116' '115' '115' '116' '115' '115' '117' '116' '115' '117'],['123' '123' '123' '122' '123' '124' '121' '122' '122' '121']
0,['115' '115' '116' '115' '115' '117' '116' '115' '117' '117'],['123' '123' '122' '123' '124' '121' '122' '122' '121' '123']
0,['115' '116' '115' '115' '117' '116' '115' '117' '117' '116'],['123' '122' '123' '124' '121' '122' '122' '121' '123' '120']
0,['116' '115' '115' '117' '116' '115' '117' '117' '116' '115'],['122' '123' '124' '121' '122' '122' '121' '123' '120' '121']
0,['115' '115' '117' '116' '115' '117' '117' '116' '115' '115'],['123' '124' '121' '122' '122' '121' '123' '120' '121' '122']
0,['115' '117' '116' '115' '117' '117' '116' '115' '115' '115'],['124' '121' '122' '122' '121' '123' '120' '121' '122' '121']
0,['117' '116' '115' '117' '117' '116' '115' '115' '115' '116'],['121' '122' '122' '121' '123' '120' '121' '122' '121' '124']
0,['116' '115' '117' '117' '116' '115' '115' '115' '116' '116'],['122' '122' '121' '123' '120' '121' '122' '121' '124' '123']
0,['115' '117' '117' '116' '115' '115' '115' '116' '116' '115'],['122' '121' '123' '120' '121' '122' '121' '124' '123' '122']
0,['117' '117' '116' '115' '115' '115' '116' '116' '115' '116'],['121' '123' '120' '121' '122' '121' '124' '123' '122' '123']
0,['117' '116' '115' '115' '115' '116' '116' '115' '116' '116'],['123' '120' '121' '122' '121' '124' '123' '122' '123' '122']
0,['116' '115' '115' '115' '116' '116' '115' '116' '116' '117'],['120' '121' '122' '121' '124' '123' '122' '123' '122' '123']
0,['115' '115' '115' '116' '116' '115' '116' '116' '117' '114'],['121' '122' '121' '124' '123' '122' '123' '122' '123' '123']
0,['115' '115' '116' '116' '115' '116' '116' '117' '114' '116'],['122' '121' '124' '123' '122' '123' '122' '123' '123' '124']
0,['115' '116' '116' '115' '116' '116' '117' '114' '116' '114'],['121' '124' '123' '122' '123' '122' '123' '123' '124' '124']
0,['116' '116' '115' '116' '116' '117' '114' '116' '114' '115'],['124' '123' '122' '123' '122' '123' '123' '124' '124' '124']
0,['116' '115' '116' '116' '117' '114' '116' '114' '115' '115'],['123' '122' '123' '122' '123' '123' '124' '124' '124' '123']
